AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,2.0,1.2,0.9,3.1,1.1,0.9
Cash_from_Operations,4.1,18.1,12.2,0.2,11.7,7.1
Diluted_EPS,2.073,1.912,1.338,1.502,1.688,0.241
Goodwill_Intangibles,9.8,9.8,10.1,10.3,5.2,
LT_Debt,110.8,114.5,62.7,97.4,49.2,0.0
Net_Income,16.1,14.4,9.8,11.0,12.4,1.8
Revenue,70.4,63.8,55.6,52.9,41.3,26.4
Shares_Diluted,7.77,7.524,7.3544,7.3544,7.3544,7.3544
Total_Assets,1584.9,1416.2,1301.3,1127.5,924.7,
Total_Liabilities,1414.2,1264.5,1193.3,1031.0,839.0,
