AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,4.5,3.1,5.4,6.1,14.0,14.9,8.6,7.7,6.5
Cash_from_Operations,18.8,13.6,3.6,8.7,6.4,10.2,8.7,8.9,10.3
Diluted_EPS,0.139,-0.276,-0.241,0.042,0.23,0.136,0.21,0.204,0.29100000000000004
Goodwill_Intangibles,9.0,10.3,11.5,12.8,14.2,15.8,16.5,18.5,19.9
LT_Debt,18.8,21.2,21.1,22.2,23.3,14.6,15.3,0.0,0.0
Net_Income,3.2,-6.4,-5.7,1.0,8.4,3.3,5.1,5.0,7.1
Revenue,68.9,64.1,67.1,67.8,63.2,64.6,61.0,58.1,56.5
Shares_Diluted,22.807,23.243,23.513,23.897,23.997,24.124,24.434,24.458,24.458000000000002
Total_Assets,226.8,230.4,238.2,252.1,254.0,241.5,235.9,212.3,206.1
Total_Liabilities,34.2,34.8,36.3,41.1,40.3,33.9,29.1,9.2,8.0
