AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,4.5,2.9,3.3,4.0,3.1,9.0,,,
Cash_from_Operations,123.6,96.3,5.6,30.5,26.9,35.3,,,
Diluted_EPS,3.232,3.17,2.473,1.715,1.676,1.353,,,
Goodwill_Intangibles,51.3,45.1,36.1,27.4,,,,,
LT_Debt,122.4,122.2,122.0,72.9,72.9,67.3,189.2,206.4,117.2
Net_Income,58.2,58.6,45.4,29.2,29.3,23.6,,,
Revenue,161.2,135.0,138.2,132.9,118.1,104.4,,,
Shares_Diluted,18.0198,18.4922,18.339,17.0406,17.4715,17.4715,,,
Total_Assets,3944.1,3901.9,3599.2,3237.2,2712.7,2573.4,2500.8,2536.9,2335.4
Total_Liabilities,3587.0,3494.4,3229.1,2931.0,2500.0,2358.0,,,
