AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,163.3,125.9,116.1,105.1,90.3
Cash_from_Operations,251.3,432.9,423.4,359.1,408.0
Diluted_EPS,0.347,0.166,0.295,0.586,0.539
Goodwill_Intangibles,2568.6,2656.2,2752.4,3009.7,
LT_Debt,4226.2,5608.1,4760.8,4787.1,0.0
Net_Income,120.2,54.7,96.3,198.9,183.1
Revenue,4681.5,4031.0,3749.0,3001.1,2679.6
Shares_Diluted,346.684,328.575,326.966,339.4251,339.4251
Total_Assets,6293.8,5556.2,5489.4,5444.9,
Total_Liabilities,7040.4,8254.4,7011.8,6936.6,
