AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,338.0,296.9,1441.2,3488.1,2055.0
Cash_from_Operations,-733.0,-1911.9,-857.0,-448.2,-176.7
Diluted_EPS,-2.67,-6.196,-4.368,-4.557,-2.248
Goodwill_Intangibles,737.0,734.1,729.2,778.3,
LT_Debt,3241.0,2903.6,1931.7,1437.8,0.0
Net_Income,-2034.0,-4439.0,-3129.4,-3264.7,-1610.8
Revenue,3245.0,2570.1,3415.9,3458.6,1821.8
Shares_Diluted,761.8456,716.4309,716.4309,716.4309,716.4309
Total_Assets,17863.0,21756.2,25356.3,31147.8,
Total_Liabilities,21533.0,23638.2,25364.0,29371.1,
