AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,,0.0,0.0,0.0,0.0,0.4,0.1,0.0
Cash_from_Operations,-0.4,-0.6,-3.9,-5.6,-1.0,-8.6,-5.2,-0.8
Diluted_EPS,-0.114,-0.416,-0.293,-0.702,-2.241,-4.823,-3.097,-0.721
Goodwill_Intangibles,20.7,21.5,22.2,35.9,23.8,0.0,,
LT_Debt,8.2,9.7,13.7,12.4,14.2,0.0,0.0,0.0
Net_Income,-3.7,-11.9,-7.2,-9.0,-13.8,-13.1,-7.1,-1.5
Revenue,11.4,17.1,17.1,16.0,7.7,0.6,0.0,0.0
Shares_Diluted,32.5895,28.7175,24.5618,12.8124,6.1723,2.7112,2.2849,2.1409
Total_Assets,26.9,25.0,38.1,48.2,35.4,5.1,3.7,0.3
Total_Liabilities,16.0,16.5,21.5,27.3,32.6,4.2,0.9,2.2
