AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019
Capital_Expenditures,13.7,6.3,4.2,2.7
Cash_from_Operations,-62.6,-68.6,-22.0,-27.1
Diluted_EPS,-1.612,-1.315,-0.93,-0.723
Goodwill_Intangibles,297.4,296.4,2.5,4.6
LT_Debt,279.9,0.0,0.0,11.4
Net_Income,-76.0,-61.4,-39.9,-31.0
Revenue,381.1,218.3,141.4,80.2
Shares_Diluted,47.1582,46.6746,42.8734,42.8734
Total_Assets,736.9,502.6,89.0,77.4
Total_Liabilities,363.2,78.1,39.5,29.4
