AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,27.6,15.0,40.1,20.4,29.0,9.7,36.0,36.3,10.0
Cash_from_Operations,778.5,899.6,776.4,798.9,693.1,592.4,531.9,407.6,288.6
Diluted_EPS,-5.523,4.222,9.094,7.303,7.956,6.414,5.228,0.932,3.513
Goodwill_Intangibles,8979.9,3153.4,3361.0,3659.0,3926.7,3905.8,1842.7,2140.1,1262.9
LT_Debt,6025.2,1848.5,1573.9,1563.0,1540.4,1993.5,1150.9,1333.0,544.4
Net_Income,-329.7,238.6,523.4,447.1,487.8,396.8,329.5,58.4,216.3
Revenue,3094.2,2363.6,2161.8,1890.9,1618.7,1488.0,1324.8,1172.9,872.4
Shares_Diluted,59.694,56.517,57.55,61.221,61.317,61.87,63.036,62.614,61.568999999999996
Total_Assets,12298.6,6535.9,5538.9,5203.5,5123.7,4800.2,3332.6,3339.0,2238.2
Total_Liabilities,8333.4,2876.2,2427.9,2446.1,2410.6,2922.9,1734.0,1967.8,942.7
