AAII_YR_DATA,12/31/2021,12/31/2020,03/31/2020,03/31/2019,03/31/2018,03/31/2017
Capital_Expenditures,3.0,0.1,,0.0,0.0,
Cash_from_Operations,-42.2,-17.0,-3.4,-2.0,-1.3,-0.1
Diluted_EPS,-4.528,-1.38,-0.6,-0.45,-0.101,-0.002
Goodwill_Intangibles,10.5,106.9,,,,
LT_Debt,0.0,42.6,0.0,0.0,0.0,0.0
Net_Income,-161.4,-27.2,-5.0,-3.9,-3.9,-0.1
Revenue,20.0,1.7,,,,
Shares_Diluted,35.6407,19.6915,8.3755,8.5634,38.8125,38.8125
Total_Assets,117.9,153.0,2.0,290.8,312.7,0.3
Total_Liabilities,117.0,105.8,16.7,8.5,2.9,0.3
