AAII_YR_DATA,12/30/2022,12/30/2021,12/30/2020,12/31/2019,12/30/2019,12/30/2018,12/30/2017,12/30/2016,12/30/2015,12/30/2014,12/30/2013
Capital_Expenditures,0.8,5.6,0.9,0.6,0.6,1.5,1.3,5.7,4.3,4.3,2.2
Cash_from_Operations,-1.0,0.7,3.2,-0.9,-0.9,3.4,1.0,2.6,0.9,-2.3,5.9
Diluted_EPS,-0.753,-0.348,-0.071,-0.32,-0.31,0.038,-0.108,-0.049,-0.119,0.073,0.313
Goodwill_Intangibles,1.6,1.9,1.5,1.8,1.7,1.8,0.8,0.2,0.7,0.1,0.1
LT_Debt,8.3,8.3,5.6,3.1,3.0,3.6,4.1,4.0,2.6,0.0,0.0
Net_Income,-5.3,-2.4,-0.5,-2.2,-2.2,0.3,-0.8,-0.3,-0.8,0.5,1.9
Revenue,34.9,34.0,32.6,32.7,31.6,36.1,34.5,31.9,30.1,28.7,31.1
Shares_Diluted,6.978,6.925,6.978,6.9816,6.9816,6.9816,6.9738,6.8759,6.8759,6.6964,6.0984
Total_Assets,38.2,40.6,38.5,38.1,36.9,42.0,39.6,40.9,39.0,37.6,31.9
Total_Liabilities,19.6,17.1,12.7,10.6,10.3,13.4,11.5,13.3,10.5,7.6,9.5
