AAII_YR_DATA,01/29/2023,01/30/2022,01/31/2021,02/02/2020,02/03/2019
Capital_Expenditures,25.0,20.0,11.9,13.9,13.9
Cash_from_Operations,401.0,-31.0,219.8,206.5,100.9
Diluted_EPS,2.132,0.859,0.185,0.171,0.152
Goodwill_Intangibles,2330.0,2386.0,2371.9,1948.3,
LT_Debt,1444.0,1456.0,2251.7,2011.1,0.0
Net_Income,366.0,166.0,44.5,41.2,36.6
Revenue,6651.0,5004.0,3642.3,3388.6,3201.6
Shares_Diluted,246.217,244.4517,240.875,240.875,240.875
Total_Assets,4909.0,4434.0,3923.7,3199.4,
Total_Liabilities,3162.0,3109.0,3123.0,2557.9,
