AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.3,0.5,0.3,0.2,0.2,0.0,0.0,0.1,0.0,
Cash_from_Operations,-7.9,-6.6,-4.2,-4.0,-0.3,-3.6,-1.8,-2.1,-1.0,-0.2
Diluted_EPS,-1.112,-1.627,-2.032,-1.387,-1.064,-20.07,-19.083,-18.607,-22.879,-816.199
Goodwill_Intangibles,0.3,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,
LT_Debt,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-6.9,-6.0,-6.7,-2.5,-1.6,-5.2,-2.6,-2.3,-2.6,-0.6
Revenue,15.0,8.3,8.0,13.6,12.0,3.9,6.1,6.8,4.2,0.6
Shares_Diluted,6.1752,3.6943,3.3202,1.7817,1.4854,0.2576,0.1345,0.125,0.1155,
Total_Assets,13.1,9.5,6.4,5.5,4.5,2.9,1.2,1.3,0.8,0.1
Total_Liabilities,9.0,8.7,4.5,5.7,4.7,2.2,6.4,5.1,5.9,1.0
