AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,12543.5,12644.8,13172.6,14581.9,15369.3,12107.6,10697.0
Cash_from_Operations,16983.5,14977.1,14555.4,15254.2,16402.8,14540.8,13326.0
Diluted_EPS,3.824,3.953,3.47,3.358,3.737,3.295,3.27
Goodwill_Intangibles,6979.2,6649.0,6381.8,6209.2,6132.6,5867.4,5725.8
LT_Debt,9446.2,6782.4,7333.7,1420.8,9790.5,9489.9,9444.5
Net_Income,3094.6,3199.1,2808.0,2717.7,3024.7,2666.7,2646.3
Revenue,56672.0,56881.6,55238.3,53172.7,49955.2,48928.3,48504.5
Shares_Diluted,809.3237,809.3237,809.3237,809.3237,809.3237,809.32,809.3237
Total_Assets,106053.0,100058.0,99727.9,98425.3,94956.7,84657.0,81936.7
Total_Liabilities,52884.2,48312.8,50577.4,50857.0,49136.9,41039.5,40045.1
