AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,1741.6,2191.5,2182.2,1721.3,269.6,2290.7
Cash_from_Operations,2144.0,2017.5,2034.6,1667.2,1618.3,1418.3
Diluted_EPS,0.098,1.494,1.319,3.945,2.314,2.032
Goodwill_Intangibles,0.0,5.7,28.7,51.7,75.6,
LT_Debt,6118.8,7096.1,5816.6,5956.1,6237.9,0.0
Net_Income,42.8,619.7,495.2,2348.5,1377.7,1210.0
Revenue,2237.2,2289.5,2122.4,1814.3,1794.9,1597.9
Shares_Diluted,437.972,414.802,375.455,595.383,595.383,595.383
Total_Assets,16813.5,17515.9,16020.3,12449.9,11370.1,
Total_Liabilities,11185.3,11739.3,11201.5,6344.3,6881.9,
