AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Cash_from_Operations,-7.3,-6.3,-4.9,-4.2,-5.4,-4.7,-4.8,-5.2
Diluted_EPS,-3.834,-0.389,-0.295,-0.246,-0.378,-0.389,-0.37,-1.5
Goodwill_Intangibles,0.0,0.0,0.1,0.2,0.3,0.4,0.6,0.8
LT_Debt,6.1,0.0,41.9,0.0,45.4,0.1,31.8,24.4
Net_Income,-108.8,-11.0,-8.3,-6.1,-7.5,-7.7,-7.3,-27.5
Revenue,2.2,2.8,2.3,3.5,1.9,1.8,0.9,0.3
Shares_Diluted,28.3895,28.2716,28.2716,24.7226,19.8275,19.8275,19.8275,18.3566
Total_Assets,1.0,1.2,1.0,0.8,1.4,1.5,1.4,1.4
Total_Liabilities,8.4,52.5,45.7,45.5,47.6,40.9,33.2,30.2
