AAII_YR_DATA,01/26/2020,01/27/2019,01/28/2018,01/29/2017,01/31/2016,01/25/2015,01/26/2014
Capital_Expenditures,23.1,17.1,35.5,32.9,13.0,31.8,37.2
Cash_from_Operations,118.6,183.6,111.5,117.6,102.1,106.2,118.0
Diluted_EPS,0.473,1.017,0.513,0.827,0.174,0.413,-2.438
LT_Debt,194.7,192.8,211.1,226.5,239.2,234.7,273.3
Net_Income,31.9,69.6,34.6,54.7,11.5,27.9,-164.5
Revenue,547.5,627.2,587.8,544.3,490.2,557.9,595.0
Shares_Diluted,67.418,68.481,67.605,66.109,65.961,67.685,67.471
Total_Assets,1052.4,1062.8,1085.8,1011.5,911.5,929.4,948.9
Total_Liabilities,375.5,380.2,420.8,406.3,383.5,378.1,413.1
