AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,01/03/2015,12/28/2013
Capital_Expenditures,3.7,4.5,7.4,5.3,3.0,10.9,8.1,5.6
Cash_from_Operations,18.0,28.6,-21.2,2.2,1.5,16.5,28.9,-5.5
Diluted_EPS,-2.997,-0.338,1.475,0.154,-0.82,-1.323,0.627,0.253
Goodwill_Intangibles,12.8,33.3,19.5,16.9,13.7,16.1,40.3,24.2
LT_Debt,60.5,71.9,76.4,25.9,8.8,23.4,27.3,20.9
Net_Income,-27.3,-3.0,13.1,1.3,-7.1,-11.5,5.5,1.8
Revenue,256.0,305.2,280.8,201.1,138.6,175.5,199.5,196.8
Shares_Diluted,9.099,8.983,8.8776,8.7275,8.6497,8.7104,8.7151,6.9474
Total_Assets,207.0,257.2,228.4,159.9,138.6,149.0,187.8,163.3
Total_Liabilities,126.7,150.7,125.9,70.2,50.0,53.9,78.4,57.2
