AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,2.7,2.9,4.2,5.7,6.7,7.9,11.3,15.9
Cash_from_Operations,-7.8,12.1,-9.2,-30.8,14.6,33.3,25.6,59.6
Diluted_EPS,-0.339,-4.258,2.375,-6.76,-21.295,-27.729,3.829,2.129
Goodwill_Intangibles,,,0.0,2.6,37.8,73.8,400.4,400.5
LT_Debt,22.6,19.3,14.2,0.0,0.0,74.1,64.3,82.7
Net_Income,-2.2,-26.8,14.9,-41.9,-130.9,-170.9,24.0,13.4
Revenue,176.9,217.6,284.6,383.9,404.4,444.2,553.7,559.6
Shares_Diluted,6.469,6.284,6.27,6.192,6.1487,6.1643,6.2658,6.2812
Total_Assets,119.5,110.2,125.2,130.8,213.4,414.4,647.2,685.5
Total_Liabilities,162.9,150.2,134.6,165.4,210.8,274.1,320.5,336.5
