AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,131.8,77.5,83.2,99.8,76.1
Cash_from_Operations,97.4,25.8,116.6,-32.4,10.2
Diluted_EPS,-1.993,-1.937,-0.74,-3.098,-1.156
Goodwill_Intangibles,1027.2,1281.5,1348.5,1410.6,
LT_Debt,1932.0,1834.3,2244.6,2116.5,0.0
Net_Income,-355.1,-257.9,-122.8,-514.2,-191.8
Revenue,746.0,703.7,690.5,678.6,703.3
Shares_Diluted,178.1447,133.1262,165.9787,165.9787,165.9787
Total_Assets,3063.3,2937.2,3266.1,3222.4,
Total_Liabilities,2679.0,2331.3,2708.3,2560.2,
