AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,0.1,0.6,0.5,0.2,,,
Cash_from_Operations,-35.6,-22.4,-12.2,-19.8,,,
Diluted_EPS,-1.184,-0.745,-0.639,-1.822,,,
Goodwill_Intangibles,26.8,35.0,43.1,0.0,,,
LT_Debt,37.4,39.1,95.6,75.9,0.0,0.0,0.0
Net_Income,-34.1,-21.5,-18.3,-52.0,,,
Revenue,50.3,52.1,37.8,26.0,22.4,15.3,10.3
Shares_Diluted,28.8084,28.8223,28.568,28.568,,,
Total_Assets,68.9,115.1,92.0,46.7,,,
Total_Liabilities,51.7,71.0,190.6,130.7,,,
