AAII_YR_DATA,12/31/2022,12/31/2021,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013
Capital_Expenditures,279.7,43.2,114.8,130.2,174.2,100.1,113.2,127.3,158.0,124.9,59.9
Cash_from_Operations,601.3,-163.1,1221.6,327.3,568.3,436.3,246.5,583.9,82.5,170.4,438.0
Diluted_EPS,2.629,0.091,6.83,4.717,8.212,6.294,3.768,2.907,2.899,3.605,3.552
Goodwill_Intangibles,1499.0,1513.0,1518.8,1427.7,1428.0,1477.3,1520.8,1557.0,1607.8,1683.4,1755.7
LT_Debt,613.7,819.0,834.4,827.6,819.0,818.0,807.9,826.2,844.3,875.0,890.0
Net_Income,173.9,6.2,472.7,324.5,579.4,471.9,285.6,216.4,229.0,308.1,316.0
Revenue,8282.0,1791.7,7737.3,6856.8,8382.0,7705.5,6829.6,6279.2,6098.1,6808.2,7665.1
Shares_Diluted,66.1348,67.9365,69.2088,68.7877,70.5582,74.982,75.7901,74.4329,78.9814,85.4576,85.4576
Total_Assets,7729.0,6721.8,6891.6,5815.9,5566.3,5294.2,5098.9,4513.8,4552.7,4586.7,4765.7
Total_Liabilities,4543.3,3645.4,3643.8,2965.2,2966.5,2780.7,2791.5,2537.3,2641.6,2601.7,2657.9
