AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,6.8,5.7,7.2,9.9,7.9,11.0,15.3,13.3,11.6
Cash_from_Operations,62.5,39.6,19.6,15.8,8.9,-49.2,-34.0,-9.9,-9.1
Diluted_EPS,0.894,0.246,0.175,-0.256,-0.33,1.205,0.061,0.375,0.541
Goodwill_Intangibles,32.6,32.6,32.6,37.1,46.3,55.6,65.9,2.4,4.3
LT_Debt,161.1,203.2,199.0,220.6,204.5,188.8,96.0,0.0,0.0
Net_Income,41.4,11.1,7.6,-10.7,-13.6,48.2,2.5,14.7,21.2
Revenue,409.9,360.5,411.8,413.3,419.0,511.9,505.6,530.3,563.4
Shares_Diluted,46.303,44.878,43.495,41.662,41.02,40.021,40.38,39.267,39.07
Total_Assets,274.0,305.1,304.3,265.8,234.7,249.6,247.9,191.6,235.1
Total_Liabilities,398.1,438.1,459.4,432.5,503.3,519.5,577.5,532.7,594.5
