AAII_YR_DATA,06/30/2022,06/30/2021,06/30/2020,06/30/2019,03/31/2019,03/31/2018,03/31/2017,03/31/2016
Capital_Expenditures,1.2,0.9,0.9,0.4,0.3,1.1,0.1,0.0
Cash_from_Operations,-5.1,-15.4,-4.6,2.2,-1.6,8.9,6.4,-0.1
Diluted_EPS,-1.041,-0.464,-0.376,-0.107,-0.828,-2.056,0.732,-0.051
Goodwill_Intangibles,40.1,47.4,29.8,31.8,32.4,36.4,46.3,0.0
LT_Debt,23.5,22.1,24.6,19.4,18.4,18.4,20.0,0.0
Net_Income,-21.6,-7.6,-5.1,-1.4,-11.2,-27.9,5.6,-0.3
Revenue,22.4,24.0,48.0,13.6,39.0,33.6,32.3,0.0
Shares_Diluted,20.7217,16.3065,13.557,13.5574,13.5574,13.5574,7.624,5.5144
Total_Assets,69.7,76.5,62.4,73.1,65.4,76.3,100.8,7.9
Total_Liabilities,47.7,36.1,44.7,50.6,41.4,39.3,36.2,8.2
