AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,116.3,105.5,29.1,8.2,3.9
Cash_from_Operations,-178.7,-455.5,190.6,-68.7,-2.9
Diluted_EPS,-5.71,-1.208,-0.232,-0.429,-0.07
Goodwill_Intangibles,9845.2,14886.8,8422.7,1585.8,274.6
LT_Debt,2489.6,2748.0,581.5,258.2,0.0
Net_Income,-6102.2,-1110.2,-162.6,-124.4,-15.1
Revenue,5988.1,4840.2,2198.8,447.8,250.2
Shares_Diluted,1068.632,919.143,702.1,290.0445,216.066
Total_Assets,13340.5,19195.0,11150.3,1786.1,449.1
Total_Liabilities,4830.5,5142.8,1998.5,566.4,299.6
