AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,20.3,19.7,19.3,62.1,21.2
Cash_from_Operations,-8652.1,7592.3,9194.1,168.5,189.2
Diluted_EPS,0.657,1.572,0.355,0.646,0.631
Goodwill_Intangibles,300.4,290.4,277.9,422.0,316.7
LT_Debt,22196.5,21931.1,20657.4,16076.2,14955.5
Net_Income,603.2,1435.5,341.5,593.0,566.8
Revenue,1903.4,1557.4,1492.2,1473.9,1421.9
Shares_Diluted,918.3656,913.0877,960.9788,917.775,898.866
Total_Assets,115764.0,115847.0,103644.0,90163.0,82376.9
Total_Liabilities,110482.0,110622.0,98298.8,84994.4,77546.5
