AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,901.1,931.1,880.3,725.8,755.3,1042.7,2010.3,872.2
Cash_from_Operations,2114.9,1450.5,2099.7,1967.1,1775.7,1959.6,2160.0,2070.3
Diluted_EPS,0.967,0.832,0.102,0.797,0.662,0.676,0.701,1.043
Goodwill_Intangibles,1638.5,1511.8,1741.5,1546.0,1479.9,1483.3,4023.2,1931.1
LT_Debt,7205.0,5598.5,6933.4,3251.7,3224.7,3973.5,3380.3,2502.7
Net_Income,835.2,737.7,93.1,762.2,659.2,673.1,697.8,1037.1
Revenue,6731.0,6400.2,6068.8,5683.7,5925.4,5802.3,5585.2,5175.8
Shares_Diluted,863.4511,886.4171,915.3714,956.0212,995.347,995.098,994.989,994.4245
Total_Assets,12501.2,11205.2,12457.5,7494.6,7404.8,8885.9,8150.5,6212.1
Total_Liabilities,12110.8,10755.5,11569.8,5860.8,5511.2,6708.4,5854.5,4231.2
