AAII_YR_DATA,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014
Capital_Expenditures,0.4,1.4,0.3,0.0,0.0,
Cash_from_Operations,-2.5,-4.4,-0.6,-0.3,-0.2,0.0
Diluted_EPS,-0.69,-0.703,-0.37,-0.49,-0.438,-0.018
Goodwill_Intangibles,0.0,7.7,3.6,2.7,0.6,
LT_Debt,4.3,3.9,1.4,0.8,0.0,0.0
Net_Income,-18.5,-11.6,-3.6,-2.5,-1.5,-0.1
Revenue,3.8,3.4,3.0,0.6,0.1,
Shares_Diluted,26.8879,16.5485,9.6282,5.1488,3.3167,2.9014
Total_Assets,8.4,14.4,6.0,2.2,0.7,0.0
Total_Liabilities,20.0,12.3,6.0,2.8,0.5,0.1
