AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,1.0,1.3,,0.0,0.0,0.0
Cash_from_Operations,-15.8,-20.6,,0.0,0.0,0.0
Diluted_EPS,-1.589,-0.871,-1.164,-0.001,0.0,-0.001
Goodwill_Intangibles,13.1,13.4,8.4,0.0,0.0,0.0
LT_Debt,0.1,3.9,14.7,0.0,0.0,0.0
Net_Income,-32.0,-17.5,-23.4,0.0,0.0,0.0
Revenue,30.1,17.0,10.8,0.0,0.0,0.0
Shares_Diluted,20.1361,20.1361,20.1361,13.895,12.875,12.875
Total_Assets,36.8,26.2,19.4,0.2,0.0,0.0
Total_Liabilities,20.3,35.6,25.3,0.2,0.0,0.0
