AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,28.9,23.6,16.8,13.6,4.6
Cash_from_Operations,417.0,299.4,169.6,44.4,43.8
Diluted_EPS,0.157,0.261,-0.096,-0.204,-0.075
Goodwill_Intangibles,2088.3,2006.1,1365.8,1337.4,534.4
LT_Debt,1235.7,1232.9,744.9,1194.6,631.8
Net_Income,63.2,116.8,-15.0,-78.0,-28.6
Revenue,1098.0,747.2,476.2,293.3,144.3
Shares_Diluted,403.3925,447.2573,156.7432,382.5909,382.5909
Total_Assets,7136.4,6852.9,2327.4,1561.9,591.0
Total_Liabilities,4864.6,4855.0,1824.6,1575.5,710.1
