AAII_YR_DATA,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018
Capital_Expenditures,24.8,14.9,9.4,3.9,5.4
Cash_from_Operations,-338.3,-115.4,-61.8,0.1,-4.8
Diluted_EPS,-1.814,0.754,-0.181,0.37,0.137
Goodwill_Intangibles,76.7,121.3,74.6,10.3,6.3
LT_Debt,698.6,459.1,311.8,21.7,19.8
Net_Income,-297.5,124.9,-17.7,59.9,22.2
Revenue,764.0,930.0,529.3,337.5,233.7
Shares_Diluted,164.042,165.544,97.496,161.8173,161.8173
Total_Assets,1290.1,1423.9,1073.8,406.9,297.6
Total_Liabilities,898.9,756.8,528.1,143.7,109.6
