AAII_YR_DATA,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014
Capital_Expenditures,0.1,0.1,0.4,0.0,0.8,1.3,,,
Cash_from_Operations,-16.0,3.4,23.4,-2.8,-2.3,-2.1,-1.1,-0.1,-1.2
Diluted_EPS,-0.227,0.025,0.226,-0.412,-0.127,-0.141,-0.375,-0.187,-3.107
Goodwill_Intangibles,7.1,15.5,16.1,9.7,10.6,11.5,12.4,13.2,14.1
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.5,2.1
Net_Income,-10.8,1.2,10.4,-17.9,-4.2,-3.4,-7.4,-3.1,-43.2
Revenue,15.4,61.4,130.1,2.1,2.0,,,0.0,0.0
Shares_Diluted,47.3027,46.6188,46.0227,43.502,33.1862,24.3856,19.8332,16.3217,13.9208
Total_Assets,38.7,64.4,86.2,29.4,13.0,13.3,12.5,13.3,14.3
Total_Liabilities,29.8,45.3,70.6,24.1,1.2,10.6,12.1,11.5,10.5
