AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,6.5,5.1,5.7,4.6,10.5,13.6,15.8
Cash_from_Operations,-32.3,-27.7,-16.9,-8.8,-29.6,-81.1,-70.6
Diluted_EPS,-8.799,-7.655,-7.614,-8.531,-26.401,-22.512,-25.41
Goodwill_Intangibles,128.4,137.4,146.3,167.8,180.6,184.0,145.4
LT_Debt,306.6,287.8,143.8,230.4,218.2,207.0,196.7
Net_Income,-67.8,-58.3,-56.3,-62.8,-192.2,-175.2,-189.1
Revenue,67.0,62.6,73.2,77.4,89.5,86.7,80.4
Shares_Diluted,7.7029,7.6103,7.3974,7.3571,7.2783,7.7829,7.4404
Total_Assets,159.6,197.8,200.3,266.5,286.3,449.2,684.4
Total_Liabilities,384.9,359.8,312.1,323.6,283.5,255.9,272.8
