AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,13.4,21.1,19.2,19.7,21.2,11.4,8.5,3.5
Cash_from_Operations,53.3,75.4,121.1,60.4,102.3,69.5,46.6,42.5
Diluted_EPS,-0.076,-0.005,-1.94,0.148,-0.877,-1.076,-0.699,-0.453
Goodwill_Intangibles,5.0,5.4,5.8,15.2,64.5,142.2,99.6,100.9
LT_Debt,1486.2,1590.6,1607.5,1907.9,2130.4,2151.3,1223.2,1077.2
Net_Income,-6.3,-0.4,-159.4,12.2,-72.2,-82.4,-46.4,-30.0
Revenue,336.3,345.9,323.0,324.5,472.4,388.5,255.0,85.1
Shares_Diluted,82.4965,82.2082,82.1489,82.7413,82.3573,76.6012,66.4009,66.3999
Total_Assets,1773.5,2194.7,2286.3,2508.0,2821.7,3017.5,1966.2,1549.6
Total_Liabilities,1550.0,1917.8,1963.8,2002.1,2242.8,2250.1,1317.6,1141.8
