AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,255.2,276.7,451.4,1225.9,518.0,977.3,736.4,245.6
Cash_from_Operations,66.5,56.1,85.4,131.8,167.1,196.1,100.1,169.5
Diluted_EPS,-0.632,-1.391,-0.697,0.957,0.803,0.058,1.303,-1.408
Goodwill_Intangibles,12.3,42.2,74.6,89.0,92.8,105.7,75.0,13.9
LT_Debt,1904.0,2389.1,2801.8,2808.5,2792.7,2809.6,2340.0,2145.4
Net_Income,-57.5,-126.3,-63.2,86.0,72.7,5.2,117.2,-125.8
Revenue,355.0,323.4,307.5,357.2,371.7,459.0,613.4,594.9
Shares_Diluted,91.046,90.839,90.648,100.689,100.724,90.005,100.498,89.291
Total_Assets,3920.8,4527.3,5147.8,5292.8,5060.6,4957.9,4296.8,4054.0
Total_Liabilities,2685.1,3245.3,3749.0,3799.1,3574.0,3481.6,2769.6,2598.3
