AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,44.8,54.5,32.3,29.7,,
Cash_from_Operations,1.1,54.3,63.8,26.3,-1.2,0.0
Diluted_EPS,-0.506,-0.036,-0.323,-0.654,0.036,-0.001
Goodwill_Intangibles,818.8,859.5,899.0,907.4,,
LT_Debt,391.7,400.4,432.7,418.8,0.0,0.1
Net_Income,-41.4,-2.8,-23.4,-36.2,1.4,0.0
Revenue,326.5,383.9,298.2,269.5,0.0,
Shares_Diluted,81.8773,78.5427,72.4348,55.3922,39.0,11.25
Total_Assets,1133.5,1213.4,1133.5,1104.4,309.2,0.9
Total_Liabilities,520.7,577.2,610.6,572.6,18.0,0.8
