AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,0.3,1.0,0.3,0.3,,
Cash_from_Operations,-257.7,-174.6,-113.0,-42.8,-14.1,-3.8
Diluted_EPS,-5.66,-4.177,-3.804,-1.147,-0.526,-0.136
Goodwill_Intangibles,7.2,,,,,
LT_Debt,197.8,72.3,0.0,0.0,0.0,1.0
Net_Income,-311.5,-206.4,-135.7,-42.0,-19.3,-5.0
Revenue,3.7,,,,,
Shares_Diluted,55.0323,49.4056,35.6682,36.6269,36.6269,36.6269
Total_Assets,449.3,408.2,298.3,107.0,51.1,3.8
Total_Liabilities,239.7,110.5,27.6,5.5,2.8,1.7
