AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,256.0,255.0,197.0,221.0,239.0,237.3,284.2,373.9,387.4,272.1
Cash_from_Operations,1333.0,937.0,1123.0,1042.0,1057.0,1056.6,1024.1,1036.1,959.8,986.5
Diluted_EPS,30.274,19.981,12.942,15.521,13.841,10.103,9.871,11.579,11.448,11.128
Goodwill_Intangibles,603.0,622.0,619.0,733.0,952.0,1113.0,1113.3,1230.3,1238.4,828.9
LT_Debt,2284.0,2362.0,2389.0,1914.0,2090.0,2248.0,1840.9,1388.4,403.3,445.5
Net_Income,1547.0,1043.0,695.0,849.0,776.0,581.3,600.5,761.4,792.2,785.4
Revenue,15228.0,13022.0,11797.0,11486.0,11221.0,10425.0,10137.2,9973.4,9965.0,9437.8
Shares_Diluted,51.1,52.2,53.7,54.7,56.5,58.0,60.8399,65.7651,69.2057,70.5764
Total_Assets,7588.0,6592.0,6295.0,6005.0,5873.0,5804.3,5694.3,5857.8,5283.0,5266.3
Total_Liabilities,5148.0,4718.0,4467.0,4150.0,3952.0,4114.1,3896.4,3591.1,2073.2,2015.9
