AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,57.7,55.9,209.1,147.6,,
Cash_from_Operations,-19.3,8.6,74.8,83.5,-1.6,0.0
Diluted_EPS,-14.826,-81.738,-40.816,-27.951,0.465,-0.014
Goodwill_Intangibles,17.5,18.4,26.8,32.9,,
LT_Debt,280.5,283.9,284.9,99.4,0.0,0.0
Net_Income,-80.0,-252.2,-97.7,-63.8,0.8,0.0
Revenue,250.5,244.0,514.8,648.8,0.0,0.0
Shares_Diluted,5.3991,3.0853,2.3926,2.281,1.6298,0.3571
Total_Assets,243.6,323.2,612.8,480.2,327.1,0.2
Total_Liabilities,348.8,354.8,436.7,292.7,10.4,0.2
