AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,,0.1,0.1,0.1,1.1,0.4,0.2,2.1,1.3
Cash_from_Operations,76.7,101.1,76.4,63.8,81.0,60.0,68.2,44.5,46.0
Diluted_EPS,0.812,1.793,1.639,-1.158,0.252,1.136,0.76,0.536,0.9990000000000001
Goodwill_Intangibles,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
LT_Debt,35.0,90.0,40.0,30.0,64.0,74.0,86.0,58.5,63.0
Net_Income,25.3,52.8,47.2,-32.8,7.1,30.8,21.0,14.5,26.3
Revenue,816.5,777.8,812.2,769.1,737.4,687.3,635.1,585.3,544.2
Shares_Diluted,31.111,29.464,28.774,28.282,28.219,27.107,27.6228,27.1412,26.3392
Total_Assets,2255.2,2160.5,1923.2,1832.1,1737.9,1623.1,1537.8,1458.7,1385.4
Total_Liabilities,1724.1,1642.7,1472.1,1433.2,1289.2,1184.5,1129.4,1042.5,988.5
