AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,17.5,49.3,75.5,85.1,206.6
Cash_from_Operations,152.7,205.0,164.5,160.8,120.9
Diluted_EPS,-11.442,0.045,-0.36,0.689,0.489
Goodwill_Intangibles,128.5,273.0,240.0,242.7,247.0
LT_Debt,1485.4,2532.4,2140.4,1969.1,1353.5
Net_Income,-411.9,1.6,-13.0,24.8,17.6
Revenue,416.5,459.9,397.5,387.1,336.4
Shares_Diluted,35.999,35.999,35.999,35.999,35.999
Total_Assets,3633.4,5273.0,4151.9,4175.5,3012.8
Total_Liabilities,1821.9,2990.2,2638.5,2548.6,1759.3
