AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,1689.0,1329.0,1747.0,1845.0,2242.0
Cash_from_Operations,-2353.0,-1338.0,584.0,2873.0,3861.0
Diluted_EPS,-0.488,-0.628,1.807,3.451,1.135
Goodwill_Intangibles,,,47.0,47.0,
LT_Debt,4466.0,4894.0,5890.0,4792.0,0.0
Net_Income,-160.0,-205.0,589.0,1125.0,370.0
Revenue,24440.0,19649.0,17603.0,18924.0,20437.0
Shares_Diluted,328.0,326.6639,326.0,326.0,326.0
Total_Assets,46909.0,48086.0,48094.0,48995.0,
Total_Liabilities,35891.0,36867.0,35695.0,35511.0,
