AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,182.4,102.2,53.5,57.3,72.6
Cash_from_Operations,278.0,281.5,120.6,149.0,119.6
Diluted_EPS,-0.834,0.413,-0.135,-0.075,-0.021
Goodwill_Intangibles,1585.7,1711.0,1751.1,1724.0,1781.2
LT_Debt,1804.1,1784.4,1859.7,2830.8,2221.1
Net_Income,-233.6,115.4,-38.6,-20.9,-5.9
Revenue,1003.7,931.5,818.2,778.3,746.1
Shares_Diluted,280.096,279.382,285.99,277.4318,277.4318
Total_Assets,3117.7,2789.5,2761.3,2580.7,2708.6
Total_Liabilities,2767.5,2203.4,2309.0,3223.2,2664.2
