AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,197.0,198.0,148.7,167.9,133.9,166.7,86.7
Cash_from_Operations,252.0,1204.0,531.3,938.5,1111.2,1012.1,852.5
Diluted_EPS,8.235,7.661,5.81,5.198,4.807,4.31,3.925
Goodwill_Intangibles,218.0,222.0,253.5,277.0,328.4,356.4,378.0
LT_Debt,1279.0,1777.0,1774.5,1275.6,1673.9,1671.8,811.3
Net_Income,1507.0,1379.0,1005.4,881.3,796.1,699.6,604.8
Revenue,5722.0,4385.0,3852.7,3579.5,3031.6,2451.6,1980.9
Shares_Diluted,183.0,180.0,173.053,169.551,165.612,162.34,154.095
Total_Assets,212639.0,181087.0,142502.0,116264.0,99205.2,87780.5,73277.8
Total_Liabilities,195193.0,165189.0,130752.0,106413.0,90527.4,79962.2,66369.1
