AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,2.7,4.2,29.5,32.6,22.1,5.5
Cash_from_Operations,29.5,8.7,14.5,0.0,2.7,1.0
Diluted_EPS,1.187,1.119,0.889,0.087,0.001,0.231
Goodwill_Intangibles,3.9,3.9,3.1,,,
LT_Debt,41.6,35.3,86.9,68.0,12.0,7.8
Net_Income,23.6,20.8,17.5,1.7,0.0,4.5
Revenue,423.0,364.2,295.5,224.9,175.4,140.1
Shares_Diluted,19.9259,18.5663,19.7095,19.7095,19.7095,19.7095
Total_Assets,252.2,207.6,181.1,133.4,96.0,64.1
Total_Liabilities,110.5,84.7,148.7,117.6,82.0,53.4
