AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,0.3,0.0,0.1,0.0,0.0,0.0,0.0
Cash_from_Operations,-3.6,-4.8,4.6,1.6,3.6,-3.1,4.1
Diluted_EPS,-0.524,-0.121,-0.25,-0.315,-0.15,0.026,
Goodwill_Intangibles,0.0,3.8,2.4,2.6,,,
LT_Debt,0.3,0.2,0.5,0.6,0.0,0.0,0.1
Net_Income,-13.2,-2.6,-4.6,-5.1,-2.3,0.4,
Revenue,12.8,10.0,14.1,23.8,32.2,37.0,
Shares_Diluted,25.1586,21.7086,18.2575,16.2018,15.1474,15.0,15.0
Total_Assets,8.7,15.9,7.8,15.7,13.5,18.2,15.8
Total_Liabilities,9.9,7.0,7.8,15.8,13.9,19.1,17.1
