AAII_YR_DATA,03/31/2022,03/31/2021,03/31/2020
Capital_Expenditures,0.1,0.1,
Cash_from_Operations,-45.2,-19.0,-0.6
Diluted_EPS,-0.404,-0.322,-0.016
Goodwill_Intangibles,25.0,25.1,
LT_Debt,0.0,0.0,0.0
Net_Income,-67.6,-32.2,-0.8
Revenue,,0.9,0.0
Shares_Diluted,167.2872,100.0109,49.9768
Total_Assets,84.1,92.1,1.7
Total_Liabilities,7.9,6.0,0.3
