AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019
Capital_Expenditures,2.7,6.1,1.4,2.5
Cash_from_Operations,128.8,144.1,88.0,-2.1
Diluted_EPS,0.507,0.016,0.602,-0.096
Goodwill_Intangibles,17.5,15.4,12.9,14.9
LT_Debt,541.6,0.0,25.4,9.7
Net_Income,61.5,2.0,63.0,-10.1
Revenue,904.6,741.1,418.1,429.6
Shares_Diluted,121.398,118.414,104.6,104.6
Total_Assets,714.6,398.6,212.1,117.7
Total_Liabilities,685.9,163.7,125.6,107.1
