AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,4.4,5.5,3.2,2.1,1.5,1.3,
Cash_from_Operations,-36.1,61.2,43.9,-4.3,29.4,18.7,
Diluted_EPS,0.328,0.201,0.185,0.103,0.107,0.048,0.132
LT_Debt,33.9,33.8,0.0,0.0,0.0,0.0,0.0
Net_Income,18.3,11.4,10.4,5.9,5.8,2.6,7.1
Revenue,154.8,115.7,90.3,74.8,66.8,61.1,60.0
Shares_Diluted,55.7318,56.6885,56.0673,57.6698,54.0655,54.0655,54.0655
Total_Assets,4058.9,3653.1,2684.9,2448.3,2163.1,2041.9,1957.7
Total_Liabilities,3393.1,3295.5,2341.4,2118.9,1972.5,1858.4,
