AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
Capital_Expenditures,6.0,6.5,8.5,11.9,14.1,,
Cash_from_Operations,116.4,253.3,231.7,73.9,37.2,,
Diluted_EPS,0.512,0.903,1.287,-1.038,-2.367,,
Goodwill_Intangibles,17.2,29.2,29.2,29.2,,,
LT_Debt,225.9,0.0,143.9,164.0,0.0,0.0,0.0
Net_Income,22.2,38.9,54.5,-44.0,-100.3,,
Revenue,816.1,879.6,787.4,651.1,698.7,,
Shares_Diluted,43.4362,43.0583,42.3808,42.3808,42.3808,,
Total_Assets,3050.7,2877.2,2577.1,2409.5,,,
Total_Liabilities,2426.7,2334.2,2187.3,2033.5,,,
