AAII_YR_DATA,12/31/2022,12/25/2021,12/26/2020,12/28/2019
Capital_Expenditures,0.2,0.6,2.2,9.3
Cash_from_Operations,44.4,41.3,1.4,14.7
Diluted_EPS,0.181,-0.054,-0.337,-0.382
Goodwill_Intangibles,511.6,530.5,541.8,527.0
LT_Debt,370.9,172.6,263.0,223.0
Net_Income,7.3,-3.4,-21.5,-24.4
Revenue,207.4,178.7,103.4,154.2
Shares_Diluted,40.1511,63.6329,63.7925,63.7925
Total_Assets,716.0,613.4,606.9,576.5
Total_Liabilities,637.0,434.1,288.9,262.2
