AAII_YR_DATA,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014
Capital_Expenditures,1176.9,830.6,1830.7,2905.6,2778.9,3140.1,3666.5,2811.0,2814.1
Cash_from_Operations,2096.6,1718.0,1464.0,1661.6,1372.8,1483.5,1767.7,2555.6,3193.5
Diluted_EPS,3.196,0.749,-7.735,0.361,0.738,1.733,1.128,3.04,3.51
Goodwill_Intangibles,158.9,129.3,145.9,174.9,140.0,123.0,139.6,143.2,183.7
LT_Debt,5040.5,5784.2,8508.2,7021.5,5036.6,3870.9,4063.8,2451.6,1703.6
Net_Income,2029.2,470.5,-4779.5,223.9,454.7,1061.3,688.9,1855.2,2151.1
Revenue,14363.2,10517.5,9916.2,10604.3,9452.3,8980.7,9008.5,11566.2,14739.1
Shares_Diluted,634.9,627.8,617.9,620.3,615.9,612.4,610.7,610.2,620.8
Total_Assets,21854.3,18791.1,24718.5,24480.6,22879.8,20780.7,20352.3,20202.3,20380.8
Total_Liabilities,12028.9,11160.5,16854.2,13025.5,11264.5,9752.7,9569.8,8240.1,7947.4
