AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,0.3,0.2,0.0,0.0,0.1,0.0
Cash_from_Operations,-0.3,-0.4,-0.4,-0.1,0.1,0.0
Diluted_EPS,-3.581,-1.864,-1.461,0.027,-4.953,-0.058
Goodwill_Intangibles,,1.4,1.5,,0.0,0.0
LT_Debt,0.0,0.9,0.4,0.0,0.0,0.0
Net_Income,-1.4,-0.7,-0.6,0.0,-0.7,0.0
Revenue,,0.0,7.5,6.4,5.0,0.0
Shares_Diluted,0.3942,0.3822,0.3793,0.3352,0.1427,0.1001
Total_Assets,0.3,3.5,3.5,1.5,1.4,0.1
Total_Liabilities,0.7,2.6,1.9,0.9,0.9,0.0
