AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,174.3,169.0,148.9,268.8,194.8,120.7,711.4,422.5
Cash_from_Operations,281.0,6.2,273.2,186.8,171.9,416.7,1142.7,1764.9
Diluted_EPS,1.731,5.208,-15.864,-2.814,-3.589,-2.11,-3.823,2.06
Goodwill_Intangibles,60.4,61.8,,,,,,
LT_Debt,513.1,216.0,3997.9,3779.5,3877.4,3795.9,4040.2,4162.6
Net_Income,168.9,352.2,-3978.5,-700.6,-885.1,-516.5,-929.6,500.1
Revenue,1413.8,847.8,964.3,1305.4,1082.8,1236.9,2302.1,3352.3
Shares_Diluted,97.607,67.628,250.792,248.949,246.614,244.743,243.127,247.402
Total_Assets,5234.9,2073.4,4263.9,8284.5,9264.9,10794.7,11440.1,12865.6
Total_Liabilities,1627.8,572.8,4575.3,4625.5,5011.8,5518.5,5681.4,6166.4
