AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,10/31/2015
Capital_Expenditures,,0.0,0.0,0.0,0.0,0.1,0.1,0.0
Cash_from_Operations,-0.3,0.0,0.1,-0.4,-1.4,-0.7,-0.8,0.0
Diluted_EPS,0.03,-0.004,0.002,-0.088,-0.432,-0.765,-0.183,-0.009
Goodwill_Intangibles,55.9,,,,,,,0.0
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,5.9,0.0,0.0,-0.5,-2.3,-4.1,-0.9,0.0
Revenue,3.1,0.0,0.0,0.1,0.0,0.6,1.9,0.0
Shares_Diluted,198.7426,5.4088,5.4088,5.4088,5.4088,5.4088,4.9365,4.5397
Total_Assets,63.8,0.2,0.2,0.2,1.2,1.1,0.4,0.0
Total_Liabilities,4.9,4.8,5.0,4.8,5.4,3.0,1.5,0.0
