AAII_YR_DATA,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016
Capital_Expenditures,68.9,56.3,52.6,42.5,42.8,24.4,24.9
Cash_from_Operations,16.5,48.5,105.2,55.3,66.1,46.9,51.7
Diluted_EPS,0.411,0.39,0.78,0.838,0.988,0.514,0.434
Goodwill_Intangibles,145.4,89.6,49.6,42.0,36.7,33.1,32.8
LT_Debt,363.1,206.2,79.1,42.5,48.1,47.1,46.1
Net_Income,21.4,20.2,40.3,43.1,50.8,26.0,22.0
Revenue,1301.7,910.7,785.7,783.2,680.1,568.2,542.3
Shares_Diluted,51.9574,51.7732,51.6369,51.4272,51.4146,50.6915,50.6915
Total_Assets,1095.5,806.6,628.1,531.8,496.3,328.6,318.3
Total_Liabilities,639.6,397.7,242.9,188.2,196.8,176.4,162.0
