AAII_YR_DATA,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016
Capital_Expenditures,10.1,7.2,10.1,13.0,7.4,5.5
Cash_from_Operations,155.8,-36.8,34.3,-42.3,-116.6,-90.5
Diluted_EPS,-0.538,-1.199,-1.205,-3.239,-4.351,-1.794
Goodwill_Intangibles,1131.9,1195.6,1265.8,39.5,38.6,39.6
LT_Debt,487.1,0.0,0.0,0.0,0.0,0.0
Net_Income,-162.7,-336.6,-192.6,-369.7,-158.4,-203.1
Revenue,869.3,794.2,479.9,372.3,272.5,166.0
Shares_Diluted,302.522,280.772,159.816,114.141,36.406,113.2598
Total_Assets,2508.6,2299.8,2196.6,751.8,442.5,512.9
Total_Liabilities,1380.7,861.4,634.6,323.6,268.6,198.7
