AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,20.1,1.9,0.3,0.3,0.6,0.1,0.0,0.1
Cash_from_Operations,-5.7,-38.1,-22.0,-12.8,-21.7,-6.4,-13.5,-17.4
Diluted_EPS,-1.696,-1.408,-1.63,-4.21,-6.299,-21.556,-50.048,-177.23
Goodwill_Intangibles,12.0,3.5,7.3,7.3,8.1,8.1,,
LT_Debt,5.5,0.3,0.2,0.1,0.0,0.0,0.0,3.6
Net_Income,-43.4,-35.1,-26.0,-20.0,-15.7,-11.8,-12.6,-20.3
Revenue,6.4,2.1,2.9,3.0,5.8,1.5,0.3,
Shares_Diluted,25.6063,24.9139,15.9826,4.7545,2.498,0.5493,0.2512,0.1145
Total_Assets,104.4,121.0,124.2,26.0,37.8,20.2,8.9,13.2
Total_Liabilities,30.5,7.9,8.0,12.4,7.5,12.8,0.1,9.1
