AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,1219.3,270.7,126.2,338.6,1669.0
Cash_from_Operations,1012.4,233.1,411.0,485.5,470.9
Diluted_EPS,0.575,-2.115,-0.695,0.269,1.634
Goodwill_Intangibles,0.0,76.6,,,
LT_Debt,1255.0,1033.9,751.1,972.1,0.0
Net_Income,96.7,-358.5,46.7,45.8,278.9
Revenue,3057.1,1477.0,754.2,1087.2,1199.2
Shares_Diluted,168.969,169.49,170.6423,170.6423,170.6423
Total_Assets,6019.8,5157.5,3907.4,3997.5,
Total_Liabilities,5171.7,4475.3,1190.5,2115.8,
