AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,3.4,9.2,8.5,4.2,3.5
Cash_from_Operations,20.6,31.0,12.2,-8.4,15.5
Diluted_EPS,-0.389,0.275,-0.097,-0.222,0.275
Goodwill_Intangibles,177.8,190.5,195.3,148.6,61.6
LT_Debt,149.4,170.1,180.7,106.8,54.6
Net_Income,-9.9,7.0,-2.5,-5.7,7.1
Revenue,554.0,610.4,489.8,353.0,233.9
Shares_Diluted,25.3372,25.4317,25.6343,25.6543,25.6543
Total_Assets,405.0,420.3,416.0,320.2,136.5
Total_Liabilities,250.8,259.0,267.3,172.2,96.8
