AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,726.8,488.2,95.7,135.1,137.6
Cash_from_Operations,1046.0,1182.1,445.0,-254.2,-190.9
Diluted_EPS,-0.294,-0.049,-0.124,-0.556,-0.313
Goodwill_Intangibles,118.8,106.5,96.8,95.5,95.2
LT_Debt,1308.3,844.8,124.5,0.0,142.4
Net_Income,-285.2,-45.6,-112.2,-465.1,-262.1
Revenue,6418.5,3828.1,1340.3,40.3,0.0
Shares_Diluted,970.6155,926.6602,904.6442,836.3442,836.3442
Total_Assets,12265.0,8765.8,5155.2,1348.3,819.3
Total_Liabilities,5907.2,2945.8,931.1,699.1,422.0
