AAII_YR_DATA,03/31/2022,03/31/2021,03/31/2020,03/31/2019
Capital_Expenditures,0.4,0.9,0.2,0.3
Cash_from_Operations,-20.9,-35.1,-23.5,-29.2
Diluted_EPS,-7.257,-4.93,-21.643,-35.279
Goodwill_Intangibles,9.4,9.9,10.4,0.4
LT_Debt,25.7,71.1,32.7,7.3
Net_Income,-18.3,-12.2,-54.6,-88.9
Revenue,168.2,143.3,109.2,113.9
Shares_Diluted,2.5188,2.4798,2.521,2.521
Total_Assets,110.3,124.8,64.8,33.4
Total_Liabilities,82.1,113.1,85.3,50.7
