AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,43.8,59.4,28.9,20.0,25.7
Cash_from_Operations,147.1,-32.7,58.9,43.8,-8.2
Diluted_EPS,0.394,-0.602,0.355,0.349,0.331
Goodwill_Intangibles,430.4,417.2,436.0,454.9,473.7
LT_Debt,264.2,187.2,198.8,204.9,82.7
Net_Income,40.4,-58.7,34.5,33.9,32.2
Revenue,960.5,760.7,478.0,359.7,254.2
Shares_Diluted,102.6032,97.464,97.2902,97.2902,97.2902
Total_Assets,902.0,750.0,707.5,610.7,585.4
Total_Liabilities,446.4,370.9,372.4,313.2,186.6
