AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,120.7,103.5,110.7,70.4,51.7
Cash_from_Operations,195.2,133.1,58.5,39.9,38.0
Diluted_EPS,-0.241,-0.209,-0.491,-0.455,-0.405
Goodwill_Intangibles,432.6,75.1,37.3,32.5,15.1
LT_Debt,1470.3,1462.7,242.2,175.9,111.8
Net_Income,-24.3,-19.5,-43.6,-40.4,-36.0
Revenue,576.3,428.6,318.4,254.8,203.1
Shares_Diluted,100.806,93.224,88.8033,88.8033,88.8033
Total_Assets,1815.9,2101.0,430.3,302.5,245.1
Total_Liabilities,1764.8,1522.8,329.3,251.5,178.7
