AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2007,12/31/2006
Capital_Expenditures,,0.3,0.0,,0.1,0.2,,2.5,2.5
Cash_from_Operations,,2.8,1.3,,0.9,0.6,,3.6,3.6
Diluted_EPS,1.166,0.989,,,0.697,0.186,,1.881,1.881
Goodwill_Intangibles,,,,,,,2.5,2.6,2.6
LT_Debt,0.0,0.0,21.4,20.2,12.5,11.0,0.0,4.1,4.1
Net_Income,1.5,1.2,0.6,0.3,0.4,0.1,,0.9,0.9
Revenue,8.5,7.4,5.7,5.1,23.0,14.9,,9.4,9.4
Shares_Diluted,1.2605,1258.729,1.2458,1.2563,1.2333,0.6222,0.6057,0.6129,0.6129
Total_Assets,,,195.6,194.2,151.2,144.9,223.5,296.9,296.9
Total_Liabilities,,,179.5,179.5,136.1,130.5,196.6,270.1,270.1
